"Date","Line state","Last drop reason","US bitrate (Kbps)","DS bitrate (Kbps)","US FEC fast","DS FEC fast","US CRC fast","DS CRC fast","US HEC fast","DS HEC fast","US FEC interleaved","DS FEC interleaved","US CRC interleaved","DS CRC interleaved","US HEC interleaved","DS HEC interleaved","US line capacity (%)","DS line capacity (%)","US noise margin (dB)","DS noise margin (dB)","US output power (dBm)","DS output power (dBm)","US attenuation (dB)","DS attenuation (dB)","US errored seconds (ES)","DS errored seconds (ES)","US severly errored seconds (SES)","DS severly errored seconds (SES)","US unavailable seconds (UAS)","DS unavailable seconds (UAS)","TX ethernet packets","RX ethernet packets"
Feb 24 01:07:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54563939,124001968
Feb 24 01:08:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54566415,124006771
Feb 24 01:09:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54568768,124011451
Feb 24 01:10:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54571706,124017481
Feb 24 01:11:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54581611,124034788
Feb 24 01:12:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54588652,124047087
Feb 24 01:13:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54591584,124052678
Feb 24 01:14:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54596840,124063776
Feb 24 01:15:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.1,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54600650,124071251
Feb 24 01:16:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54603536,124076657
Feb 24 01:17:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54609014,124087527
Feb 24 01:18:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54614795,124099152
Feb 24 01:19:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54617368,124104346
Feb 24 01:20:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.1,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54619909,124109412
Feb 24 01:21:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,7.0,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54623859,124116971
Feb 24 01:22:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54627155,124123403
Feb 24 01:23:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54629591,124128297
Feb 24 01:24:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54632996,124136205
Feb 24 01:25:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54635396,124140981
Feb 24 01:26:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54637825,124145744
Feb 24 01:27:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54640259,124150572
Feb 24 01:28:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54642546,124155069
